Type,"Country Code","Series Code","Description"
Country-Series,"Madagascar (MDG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Population growth (annual %) (SP.POP.GROW)","Data sources: For 1960-1989, United Nations World Population Prospects. For 1990 onwards, 1990, 1995, 2000, 2006, 2014 censuses, and data on expatriate employment from Maldives National Bureau of Statistics. The census data are adjusted for mid-year and for foreign population."
Country-Series,"Maldives (MDV)","Population, total (SP.POP.TOTL)","Data sources : For 1960-1989, United Nations World Population Prospects. For 1990 onwards, 1990, 1995, 2000, 2006, 2014 censuses, and data on expatriate employment from Maldives National Bureau of Statistics. The census data are adjusted for mid-year and for foreign population."
Country-Series,"Mexico (MEX)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Marshall Islands (MHL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Marshall Islands (MHL)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Macedonia, FYR (MKD)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Macedonia, FYR (MKD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Malta (MLT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Malta (MLT)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Myanmar (MMR)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Myanmar (MMR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Population, total (SP.POP.TOTL)","Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
Country-Series,"Montenegro (MNE)","Population growth (annual %) (SP.POP.GROW)","Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
Country-Series,"Mongolia (MNG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Mongolia (MNG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Northern Mariana Islands (MNP)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Northern Mariana Islands (MNP)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Mauritius (MUS)","Population growth (annual %) (SP.POP.GROW)","Data sources: Central Statistics Office, United Nations Population and Vital Statistics Report, United Nations World Population Prospects"
Country-Series,"Mauritius (MUS)","Population, total (SP.POP.TOTL)","Data sources : Statistics Mauritius, United Nations World Population Prospects"
Country-Series,"Malawi (MWI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Malawi (MWI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Malaysia (MYS)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Malaysia (MYS)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Namibia (NAM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Namibia (NAM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"New Caledonia (NCL)","Population, total (SP.POP.TOTL)","Data sources : Institute of Statistics and Economic Studies"
Country-Series,"New Caledonia (NCL)","Population growth (annual %) (SP.POP.GROW)","Data sources: Institute of Statistics and Economic Studies, 1983 Census, 1989 Census, 1996 Census"
Country-Series,"Niger (NER)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Niger (NER)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Nigeria (NGA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Nigeria (NGA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Nicaragua (NIC)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Nicaragua (NIC)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Netherlands (NLD)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Netherlands (NLD)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Norway (NOR)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Norway (NOR)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Nepal (NPL)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Nepal (NPL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Nauru (NRU)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects, IMF and World Bank's country office"
Country-Series,"Nauru (NRU)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects, IMF and World Bank's country office"
Country-Series,"New Zealand (NZL)","Population growth (annual %) (SP.POP.GROW)","Data sources: Statistics New Zealand"
Country-Series,"New Zealand (NZL)","Population, total (SP.POP.TOTL)","Data sources : Statistics New Zealand"
Country-Series,"Oman (OMN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Oman (OMN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Pakistan (PAK)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Pakistan (PAK)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Panama (PAN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Panama (PAN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Peru (PER)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Peru (PER)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Philippines (PHL)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Philippines (PHL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Palau (PLW)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Palau (PLW)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Papua New Guinea (PNG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Papua New Guinea (PNG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Poland (POL)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Poland (POL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Puerto Rico (PRI)","Population growth (annual %) (SP.POP.GROW)","Data sources: U.S. Census Bureau, 1990 Census"
Country-Series,"Puerto Rico (PRI)","Population, total (SP.POP.TOTL)","Data sources : U.S. Census Bureau, 1990 Census"
Country-Series,"Korea, Dem. People's Rep. (PRK)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Korea, Dem. People's Rep. (PRK)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Portugal (PRT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Portugal (PRT)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Paraguay (PRY)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Paraguay (PRY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"West Bank and Gaza (PSE)","Population, total (SP.POP.TOTL)","Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
Country-Series,"West Bank and Gaza (PSE)","Population growth (annual %) (SP.POP.GROW)","Data sources: World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
Country-Series,"French Polynesia (PYF)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"French Polynesia (PYF)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Qatar (QAT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Qatar (QAT)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Romania (ROU)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Romania (ROU)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Russian Federation (RUS)","Population growth (annual %) (SP.POP.GROW)","Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
Country-Series,"Russian Federation (RUS)","Population, total (SP.POP.TOTL)","Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
Country-Series,"Rwanda (RWA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Rwanda (RWA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Saudi Arabia (SAU)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Saudi Arabia (SAU)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Sudan (SDN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan."
Country-Series,"Sudan (SDN)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan."
Country-Series,"Senegal (SEN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Senegal (SEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Singapore (SGP)","Population growth (annual %) (SP.POP.GROW)","Data sources: Department of Statistics Singapore"
Country-Series,"Singapore (SGP)","Population, total (SP.POP.TOTL)","Data sources : Department of Statistics Singapore"
Country-Series,"Solomon Islands (SLB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Solomon Islands (SLB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Sierra Leone (SLE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Sierra Leone (SLE)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"El Salvador (SLV)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"El Salvador (SLV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"San Marino (SMR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"San Marino (SMR)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Somalia (SOM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Somalia (SOM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Serbia (SRB)","Population, total (SP.POP.TOTL)","Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo."
Country-Series,"Serbia (SRB)","Population growth (annual %) (SP.POP.GROW)","Data sources: Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Excluding Kosovo for all years 1950-2011"
Country-Series,"South Sudan (SSD)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"South Sudan (SSD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"São Tomé and Principe (STP)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"São Tomé and Principe (STP)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Suriname (SUR)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Suriname (SUR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Slovak Republic (SVK)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Slovak Republic (SVK)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Slovenia (SVN)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Slovenia (SVN)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Sweden (SWE)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Sweden (SWE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Swaziland (SWZ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Swaziland (SWZ)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Sint Maarten (Dutch part) (SXM)","Population growth (annual %) (SP.POP.GROW)","Data sources: Department of Statistics, St. Maarten; US census bureau"
Country-Series,"Sint Maarten (Dutch part) (SXM)","Population, total (SP.POP.TOTL)","Data sources : Department of Statistics, St. Maarten; US census bureau"
Country-Series,"Seychelles (SYC)","Population, total (SP.POP.TOTL)","Data sources : National Bureau of Statistics"
Country-Series,"Seychelles (SYC)","Population growth (annual %) (SP.POP.GROW)","Data sources: National Bureau of Statistics"
Country-Series,"Syrian Arab Republic (SYR)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Syrian Arab Republic (SYR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Turks and Caicos Islands (TCA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Turks and Caicos Islands (TCA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Chad (TCD)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Chad (TCD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Togo (TGO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Togo (TGO)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Thailand (THA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Thailand (THA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tajikistan (TJK)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tajikistan (TJK)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Turkmenistan (TKM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Turkmenistan (TKM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Timor-Leste (TLS)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Timor-Leste (TLS)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Tonga (TON)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Tonga (TON)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Trinidad and Tobago (TTO)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Trinidad and Tobago (TTO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tunisia (TUN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tunisia (TUN)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Turkey (TUR)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Turkey (TUR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tuvalu (TUV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Tuvalu (TUV)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Tanzania (TZA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Tanzania (TZA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Uganda (UGA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Uganda (UGA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Ukraine (UKR)","Population growth (annual %) (SP.POP.GROW)","Data sources: State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report"
Country-Series,"Ukraine (UKR)","Population, total (SP.POP.TOTL)","Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report"
Country-Series,"Uruguay (URY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Uruguay (URY)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"United States (USA)","Population growth (annual %) (SP.POP.GROW)","Data sources: U.S. Census Bureau"
Country-Series,"United States (USA)","Population, total (SP.POP.TOTL)","Data sources : U.S. Census Bureau"
Country-Series,"Uzbekistan (UZB)","Population growth (annual %) (SP.POP.GROW)","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects"
Country-Series,"Uzbekistan (UZB)","Population, total (SP.POP.TOTL)","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects"
Country-Series,"St. Vincent and the Grenadines (VCT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"St. Vincent and the Grenadines (VCT)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Venezuela, RB (VEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Venezuela, RB (VEN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"British Virgin Islands (VGB)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"British Virgin Islands (VGB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Virgin Islands (U.S.) (VIR)","Population growth (annual %) (SP.POP.GROW)","Data sources: U.S. Census Bureau, United Nations Population and Vital Statistics Report"
Country-Series,"Virgin Islands (U.S.) (VIR)","Population, total (SP.POP.TOTL)","Data sources : U.S. Census Bureau, United Nations Population and Vital Statistics Report"
Country-Series,"Vietnam (VNM)","Population, total (SP.POP.TOTL)","Data sources : General Statistics Office of Vietnam"
Country-Series,"Vietnam (VNM)","Population growth (annual %) (SP.POP.GROW)","Data sources: General Statistics Office of Vietnam"
Country-Series,"Vanuatu (VUT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Vanuatu (VUT)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Samoa (WSM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Samoa (WSM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Kosovo (XKX)","Population growth (annual %) (SP.POP.GROW)","Data sources: World Bank's Kosovo coutnry office, Kosovo Agency of Statistics, U.S. Census Bureau"
Country-Series,"Kosovo (XKX)","Population, total (SP.POP.TOTL)","Data sources : World Bank's Kosovo coutnry office, Kosovo Agency of Statistics, U.S. Census Bureau"
Country-Series,"Yemen, Rep. (YEM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Yemen, Rep. (YEM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"South Africa (ZAF)","Population, total (SP.POP.TOTL)","Data sources : Statistics South Africa, United Nations World Population Prospects"
Country-Series,"South Africa (ZAF)","Population growth (annual %) (SP.POP.GROW)","Data sources : Statistics South Africa, United Nations World Population Prospects"
Country-Series,"Zambia (ZMB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Zambia (ZMB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Zimbabwe (ZWE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Zimbabwe (ZWE)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
